,f_name,l_name,gender,area_code,phone,city,state,zip,marital_status,has_child,salary,rate,single_exemp,married_exemp,child_exemp
33511,Rinie,Wesselkamper,M,603,194-5708,HAMPTON FALLS,NH,3844,S,Y,90000,0.0,0,0,0
33512,Oriol,Livadas,F,870,495-2135,BERRYVILLE,AR,72616,S,Y,75000,7.0,20,0,20
33513,Rafal,Odberg,M,360,432-2752,ADDY,WA,99101,S,Y,25000,0.0,0,0,0
33514,Peri,Halewood,F,318,373-4631,ARCHIBALD,LA,71218,M,Y,20000,4.4,0,9000,1000
33515,Arani,Tall,F,864,984-2035,SENECA,SC,29679,S,Y,70000,7.0,3300,0,3300
33516,Steve,Dorkenoo,M,316,144-6388,BURR OAK,KS,66936,M,N,90000,6.45,0,4500,0
33517,Tomomasa,Angel,F,802,222-5321,NORTH BENNINGTON,VT,5257,M,Y,10000,3.6,0,6600,3300
33518,Dorrit,Olivo,F,304,333-5711,GRAFTON,WV,26354,S,Y,40000,5.1000004,2000,0,2000
33519,Beshir,Riccone,M,954,309-9348,ESTERO,FL,33928,S,N,35000,0.0,0,0,0
33520,Dietmar,Barachini,F,318,768-6567,WATERPROOF,LA,71375,S,Y,50000,6.0,4500,0,1000
33521,Yosi,Diday,M,210,168-4128,WOODLAKE,TX,75865,S,N,50000,0.0,0,0,0
33522,Lewis,Fadgyas,M,808,850-9267,HONOLULU,HI,96840,M,N,20000,4.644737,0,2080,0
33523,Joji,McCabe,F,907,850-5429,NIKOLAI,AK,99691,S,N,45000,0.0,0,0,0
33524,Von,Canny,F,425,829-9755,NEWPORT,WA,99156,M,Y,95000,0.0,0,0,0
33525,Birgitta,Ingalls,F,662,484-6862,VANCE,MS,38964,M,Y,25000,5.0,0,12000,1500
33526,Amel,Verhoosel,M,620,153-2722,BIRD CITY,KS,67731,S,N,30000,6.45,2250,0,0
33527,Toshihiko,Maluszynski,M,515,209-5602,DES MOINES,IA,50947,S,Y,80000,8.98,40,0,40
33528,Bonita,Gargeya,F,769,749-8341,PELAHATCHIE,MS,39145,S,N,80000,5.0,6000,0,0
33529,Siamak,Mindt,M,918,310-2083,OKLAHOMA CITY,OK,73102,S,Y,60000,6.25,1000,0,1000
33530,Aime,Galdes,F,787,712-3064,PALMER,PR,721,M,N,100000,0.0,0,0,0
33531,Hosaker,Wrobel,M,307,460-1612,TORRINGTON,WY,82240,S,Y,70000,0.0,0,0,0
33532,Kenneth,Sanella,F,878,130-9280,CUDDY,PA,15031,M,N,45000,3.07,0,0,0
33533,Chrystopher,Clarkson,F,808,550-8308,PAHOA,HI,96778,M,N,15000,3.743421,0,2080,0
33534,Niki,Weatherly,M,603,141-7572,MERRIMACK,NH,3054,M,N,50000,0.0,0,0,0
33535,Nicky,Quittner,M,207,454-6881,PORT CLYDE,ME,4855,M,Y,50000,8.5,0,5700,2850
33536,Cort,Niggemeyer,M,603,303-4487,DOVER,NH,3822,M,Y,15000,0.0,0,0,0
33537,Dylan,Weissmarm,F,801,928-8451,LOGAN,UT,84341,S,Y,30000,7.0,2475,0,2475
33538,Said,Versino,F,406,850-2729,EKALAKA,MT,59324,M,N,10000,4.916379,0,3800,0
33539,Yutai,Biagini,M,716,289-8926,DRYDEN,NY,13053,M,Y,90000,4.475,0,0,1000
33540,Airi,Leitner,F,989,836-5520,ALLEN PARK,MI,48101,S,N,95000,3.9,3100,0,0
33541,Jacinto,Mattoso,M,303,756-2870,SILVERTHORNE,CO,80498,M,N,80000,4.63,0,0,0
33542,Francky,Varvel,F,939,914-1429,BAYAMON,PR,958,M,N,15000,0.0,0,0,0
33543,Yanqing,Alberga,M,314,674-2499,CARL JUNCTION,MO,64834,M,N,80000,6.0,0,4200,0
33544,Fehmina,Nerson,M,302,637-3359,MILLSBORO,DE,19966,M,N,70000,5.95,0,220,0
33545,Rajani,Brambilla,M,435,885-5053,ELMO,UT,84521,S,Y,85000,7.0,2475,0,2475
33546,Abraham,Yoshimura,M,939,204-4753,PUERTO REAL,PR,740,M,N,80000,0.0,0,0,0
33547,Delgado,Mersmann,F,775,183-7680,LAS VEGAS,NV,89162,S,N,95000,0.0,0,0,0
33548,Gajanana,Demmer,F,505,981-1318,SANTA CLARA,NM,88026,S,N,60000,5.3,3300,0,0
33549,Waleed,Marietta,M,207,873-2387,NORTH BERWICK,ME,3906,M,N,15000,6.9580293,0,5700,0
33550,Kunsoo,Shackell,F,712,595-5106,SHELBY,IA,51570,M,Y,85000,8.98,0,80,40
33551,Manica,Tawera,M,801,233-3147,RIVERSIDE,UT,84334,M,Y,55000,7.0,0,4950,2475
33552,Jasmina,Ghidini,M,203,695-3853,WASHINGTON DEPOT,CT,6794,M,N,65000,5.0,0,24500,0
33553,Nhora,Billawala,F,256,302-6115,BIRMINGHAM,AL,35201,M,Y,95000,5.0,0,3000,300
33554,Vhris,Verhoosel,F,309,314-4969,CHICAGO,IL,60679,M,Y,90000,3.0,0,4000,2000
33555,Evandro,Begiun,M,623,861-1240,GLENDALE,AZ,85307,M,N,75000,3.8775,0,4200,0
33556,Jinjuan,Matheis,M,301,659-9978,WESTMINSTER,MD,21158,M,N,10000,4.75,0,4800,0
33557,Ruce,Gusella,M,405,956-2876,RALSTON,OK,74650,M,N,75000,6.25,0,2000,0
33558,Qingming,Tahe,F,848,624-9316,VERONA,NJ,7044,S,Y,5000,1.4,1000,0,1500
33559,Savi,Canon,F,406,140-1440,LODGE GRASS,MT,59050,M,Y,90000,6.9,0,3800,1900
33560,Corentin,Pejhan,F,878,191-5478,PITTSBURGH,PA,15242,M,N,95000,3.07,0,0,0
33561,Byoung,Raghavendran,F,870,297-4944,LITTLE ROCK,AR,72211,M,N,65000,7.0,0,40,0
33562,Burt,Goncharov,M,615,446-9687,BELL BUCKLE,TN,37020,S,N,60000,0.0,0,0,0
33563,Kiyonori,Poulakidas,M,603,302-3572,CENTER HARBOR,NH,3226,M,Y,15000,0.0,0,0,0
33564,Shaz,Pietrzak,F,218,379-3969,REDBY,MN,56670,S,N,5000,5.35,3300,0,0
33565,Idranil,Poursepanj,M,505,855-2953,SANTA ROSA,NM,88435,S,N,50000,5.3,3300,0,0
33566,Danny,Ullmer,M,603,957-2958,TILTON,NH,3276,M,N,60000,0.0,0,0,0
33567,Angi,Dervin,F,351,937-3221,ANDOVER,MA,5501,S,N,55000,5.3,3575,0,0
33568,Richara,Borgelt,F,515,320-7846,OAKDALE,IA,52319,S,Y,45000,7.111101,40,0,40
33569,Christiaan,Wache,F,205,972-4110,GREEN POND,AL,35074,S,Y,40000,5.0,1500,0,300
33570,Nabiel,Kachitvichyanukul,M,919,371-6580,GOLDSTON,NC,27252,S,Y,45000,6.6765733,3300,0,3300
33571,Iztok,Stamm,M,402,891-2976,WAYNE,NE,68787,S,Y,90000,6.84,103,0,103
33572,Williaam,Broeg,M,314,898-6126,KEARNEY,MO,64060,M,Y,70000,6.0,0,4200,1200
33573,Mandaly,Lazard,F,314,310-9018,MARSHFIELD,MO,65706,S,N,70000,6.0,2100,0,0
33574,Shigeaki,Rasala,M,573,351-5102,BIXBY,MO,65439,M,Y,50000,6.0,0,4200,1200
33575,Donglai,Karton,M,774,139-4089,BOSTON,MA,2108,S,N,90000,5.3,3575,0,0
33576,Nhora,Purao,F,702,556-8713,LAS VEGAS,NV,89127,M,N,40000,0.0,0,0,0
33577,Apostol,Susaki,M,269,215-1325,LORETTO,MI,49852,S,Y,45000,3.9,3100,0,3100
33578,Yonghuai,Urbach,M,501,255-4115,HOUSTON,AR,72070,M,Y,35000,7.0,0,40,20
33579,Avinoam,Tarr,M,303,574-8085,DENVER,CO,80201,S,N,5000,4.63,0,0,0
33580,Ifay,Arruda,F,239,408-1606,MIAMI,FL,33186,M,N,50000,0.0,0,0,0
33581,Antonija,Mihail,F,207,270-9707,OAKFIELD,ME,4763,S,Y,85000,8.5,2850,0,2850
33582,Gautam,Guvenir,M,208,139-2786,PLACERVILLE,ID,83666,M,N,90000,7.8,0,6600,0
33583,Phill,Dedood,M,601,825-6649,TIPLERSVILLE,MS,38674,S,N,100000,5.0,6000,0,0
33584,Kiichi,Antonakopoulos,M,847,325-8647,ROCKFORD,IL,61112,M,Y,75000,3.0,0,4000,2000
33585,Moiez,Schaedler,M,757,801-2312,EXMORE,VA,23350,S,Y,10000,3.875,900,0,900
33586,Dietmar,Olken,F,303,295-4347,GREELEY,CO,80632,M,N,30000,4.63,0,0,0
33587,Rogers,Strubbe,M,620,864-9263,PRINCETON,KS,66078,M,N,35000,6.45,0,4500,0
33588,Rom,Tagansky,F,804,935-2170,APPOMATTOX,VA,24522,M,Y,30000,5.75,0,1800,900
33589,Benson,Bouloukos,M,216,421-9394,TOLEDO,OH,43659,S,Y,25000,1.3758974,1300,0,1300
33590,Benedito,Budimac,M,302,207-3362,LEWES,DE,19958,M,N,5000,2.2,0,220,0
33591,Rafal,Collett,M,432,182-4996,FORT WORTH,TX,76112,S,N,30000,0.0,0,0,0
33592,Fillia,Iscoe,M,253,250-4699,ALLYN,WA,98524,S,N,20000,0.0,0,0,0
33593,Garimella,Sidebottom,M,440,324-1992,YOUNGSTOWN,OH,44555,S,Y,75000,3.0356412,1300,0,1300
33594,Boalin,Bocchetti,M,605,459-9378,LANE,SD,57358,S,N,20000,0.0,0,0,0
33595,Bonnie,Nadel,M,551,787-5933,NEWARK,NJ,7182,M,Y,15000,1.4,0,2000,1500
33596,Antony,Jayaprakash,M,319,579-8004,MARBLE ROCK,IA,50653,M,N,30000,4.795432,0,80,0
33597,Masali,Moussiaux,F,662,558-2112,MYRTLE,MS,38650,S,Y,20000,5.0,6000,0,1500
33598,Kalyanmoy,McCrath,M,281,399-7928,EL PASO,TX,79920,M,N,50000,0.0,0,0,0
33599,Qamar,Corno,F,802,481-2810,HYDEVILLE,VT,5750,M,Y,85000,4.69624,0,6600,3300
33600,Sastry,Clemm,F,971,683-5352,CHESHIRE,OR,97419,M,Y,75000,9.0,0,318,159
33601,Rajamani,Deutz,M,801,836-1664,SALT LAKE CITY,UT,84147,M,Y,90000,7.0,0,4950,2475
33602,Atreyi,Maslak,M,605,690-4756,SIOUX FALLS,SD,57104,S,Y,55000,0.0,0,0,0
33603,Barinderpal,Commoner,F,808,842-6716,KULA,HI,96790,S,Y,10000,2.8421054,1040,0,1040
33604,Genta,Peckham,M,304,589-9179,AVONDALE,WV,24811,S,Y,50000,5.8,2000,0,2000
33605,Kutluhan,Muluszynski,M,937,411-3431,DILLONVALE,OH,43917,M,N,25000,1.3758974,0,2600,0
33606,Milam,Dai,M,954,796-5239,OCALA,FL,34472,S,N,55000,0.0,0,0,0
33607,Biao,Jedlinsky,M,769,265-4738,DIAMONDHEAD,MS,39525,M,Y,90000,5.0,0,12000,1500
33608,Kabekode,Muharemagic,F,770,227-7722,SOCIAL CIRCLE,GA,30025,S,N,40000,6.0,2700,0,0
33609,Chihong,Stollon,F,919,522-2960,MONROE,NC,28111,M,Y,50000,6.7814684,0,6600,3300
33610,Jinghong,Selenyi,F,563,255-2226,LINCOLN,IA,50652,M,Y,45000,7.111101,0,80,40
33611,Arvola,Soundararajan,F,401,571-6384,PROVIDENCE,RI,2903,M,N,10000,0.0,0,0,0
33612,Sofya,Rusterholz,F,808,594-7794,MAKAWELI,HI,96769,M,N,35000,7.3486843,0,2080,0
33613,Duke,Mikkilineni,F,810,328-9657,LEXINGTON,MI,48450,M,N,50000,3.9,0,6200,0
33614,Sudipto,Forys,M,740,423-8099,VAN BUREN,OH,45889,M,Y,35000,1.7078462,0,2600,1300
33615,Ian,Hasselbring,M,787,902-4582,MAYAGUEZ,PR,680,S,Y,50000,0.0,0,0,0
33616,Deene,Ciotti,F,240,396-4653,BALTIMORE,MD,21230,M,Y,75000,4.75,0,4800,2400
33617,Youichi,Jelonek,M,718,599-4817,MC GRAW,NY,13101,S,N,10000,4.011585,0,0,0
33618,Cinzia,Muhammad,F,802,692-8904,WILDER,VT,5088,S,N,80000,4.5967627,3300,0,0
33619,Wang,Nerson,M,254,137-5784,AMARILLO,TX,79159,M,Y,75000,0.0,0,0,0
33620,Gerco,Linardis,M,304,509-4547,HUNTINGTON,WV,25717,S,Y,45000,5.45,2000,0,2000
33621,Noela,Charland,M,808,932-6014,EWA BEACH,HI,96706,S,N,40000,8.25,1040,0,0
33622,Hendry,Strcalov,M,479,101-7965,ALEXANDER,AR,72002,S,N,90000,7.0,20,0,0
33623,Huizhu,Marsden,F,510,250-6476,LOS ANGELES,CA,90030,S,N,30000,6.590543,87,0,0
33624,Vilas,Bruhl,M,507,295-4162,CLEMENTS,MN,56224,S,N,20000,5.35,3300,0,0
33625,Felex,Krzesinski,F,843,915-1369,MYRTLE BEACH,SC,29579,M,Y,90000,7.0,0,6600,3300
33626,Syun,Naixiao,F,208,582-1257,CAMBRIDGE,ID,83610,M,Y,35000,7.8,0,6600,3300
33627,Xinghao,Thimonier,M,304,151-3917,ALKOL,WV,25501,S,Y,30000,4.4,2000,0,2000
33628,Miyako,Koshors,F,606,363-9178,ANNVILLE,KY,40402,M,N,40000,4.0555553,0,40,0
33629,Hongjing,Ainhirn,M,256,245-8562,ABBEVILLE,AL,36310,S,Y,100000,5.0,1500,0,300
33630,Eishiro,Nerson,M,801,254-8330,CENTRAL,UT,84722,M,N,25000,7.0,0,4950,0
33631,Sandy,Rall,F,928,681-3170,NORTH RIM,AZ,86052,S,N,20000,3.0249999,2100,0,0
33632,Siegmar,Sereno,M,225,290-7969,DELHI,LA,71232,M,Y,40000,6.0,0,9000,1000
33633,Ruairi,Henftling,F,202,921-1512,WASHINGTON,DC,20206,S,Y,80000,9.0,1370,0,1370
33634,Wenjie,Sweazey,F,302,483-8005,OCEAN VIEW,DE,19970,S,N,25000,3.5636363,110,0,0
33635,Shaoyi,Narwekar,M,939,302-3897,BAJADERO,PR,616,M,N,25000,0.0,0,0,0
33636,Novak,Joeris,M,865,189-4299,MILLINGTON,TN,38054,M,N,65000,0.0,0,0,0
33637,Marias,Hartvigsen,M,971,697-5495,WILBUR,OR,97494,S,Y,10000,9.0,159,0,159
33638,Enno,Wrobel,F,505,574-2157,LAS VEGAS,NM,87701,M,N,15000,4.957143,0,6600,0
33639,Pete,Westby,M,201,123-8499,MARTINSVILLE,NJ,8836,S,N,80000,2.34625,1000,0,0
33640,Kosaburo,Vutukuru,M,859,621-8446,BEAR BRANCH,KY,41714,M,N,20000,2.9444444,0,40,0
33641,Nripendra,Deerwester,F,828,401-9939,GREENSBORO,NC,27406,M,N,90000,7.6206293,0,6600,0
33642,Tsvi,Lavin,M,240,638-4209,PARK HALL,MD,20667,M,N,20000,4.75,0,4800,0
33643,Sangjin,Glymour,F,865,256-1942,DUCK RIVER,TN,38454,M,N,45000,0.0,0,0,0
33644,Ladislas,Reischert,M,425,663-2091,SEATTLE,WA,98190,M,N,55000,0.0,0,0,0
33645,Chandrasekhar,Aba,F,405,177-7369,EDMOND,OK,73034,S,N,70000,6.25,1000,0,0
33646,Krishna,Knapik,M,401,543-7467,WARWICK,RI,2888,M,N,75000,0.0,0,0,0
33647,Heggere,Heimdahl,F,435,276-5688,FAIRVIEW,UT,84629,S,Y,25000,7.0,2475,0,2475
33648,Monica,Hammerschmidt,F,505,783-3271,LLANO,NM,87543,M,N,5000,1.7,0,6600,0
33649,Steffo,Battaglin,M,207,440-3833,SORRENTO,ME,4677,S,N,55000,8.5,2850,0,0
33650,Mogens,Dal,F,267,155-4422,ALTOONA,PA,16602,S,Y,80000,3.07,0,0,0
33651,Shmuel,Besselaar,F,606,225-8761,SOMERSET,KY,42503,M,Y,65000,5.4444447,0,40,20
33652,Mitsuyuki,d'Acierno,M,425,198-5641,TACOMA,WA,98445,M,Y,90000,0.0,0,0,0
33653,Kiyokuni,Liesche,M,812,903-8394,SEYMOUR,IN,47274,M,N,65000,3.4,0,2000,0
33654,Nese,Kayashima,M,308,664-4670,BENNET,NE,68317,S,Y,15000,4.7976766,103,0,103
33655,Radha,Farrens,M,201,841-5828,LITTLE FERRY,NJ,7643,S,N,100000,2.6616669,1000,0,0
33656,Patrenahalli,Portinale,F,318,929-2653,JAMESTOWN,LA,71045,S,Y,40000,6.0,4500,0,1000
33657,Kenji,Banerji,M,484,590-1118,CARLISLE,PA,17013,S,N,40000,3.07,0,0,0
33658,Adly,Laqua,M,253,506-9079,SEKIU,WA,98381,S,Y,45000,0.0,0,0,0
33659,Basilis,Hillston,M,832,340-5940,VALENTINE,TX,79854,S,Y,55000,0.0,0,0,0
33660,Masaski,Wilfing,M,907,641-7587,OLD HARBOR,AK,99643,M,Y,45000,0.0,0,0,0
33661,Jiyuan,Emiris,M,860,165-4968,WEST GRANBY,CT,6090,S,Y,55000,5.0,12750,0,0
33662,Graem,Sahidar,M,931,211-1106,CHATTANOOGA,TN,37416,M,Y,80000,0.0,0,0,0
33663,Phoebe,Krolokowski,M,623,285-5829,TUCSON,AZ,85707,S,Y,5000,2.87,2100,0,2300
33664,Nipon,Gorg,F,307,909-5178,BAIROIL,WY,82322,M,Y,25000,0.0,0,0,0
33665,Altug,Vazenin,M,267,601-5626,LENHARTSVILLE,PA,19534,S,N,90000,3.07,0,0,0
33666,Agusti,Karlapalem,F,202,659-7542,WASHINGTON,DC,20586,M,N,85000,9.0,0,2740,0
33667,Jans,Pinkston,F,701,713-9668,EDMORE,ND,58330,S,N,80000,2.68309,3300,0,0
33668,Swaroop,Junping,M,787,804-8541,TRUJILLO ALTO,PR,976,S,Y,70000,0.0,0,0,0
33669,Laurie,Kottkamp,F,207,359-4599,OWLS HEAD,ME,4854,M,N,5000,2.2135036,0,5700,0
33670,Sampalli,Kinney,F,731,288-3490,HILHAM,TN,38568,S,N,10000,0.0,0,0,0
33671,Hisham,Bernsen,M,570,993-9252,ROCKHILL FURNACE,PA,17249,S,Y,50000,3.07,0,0,0
33672,Gerri,Lieberherr,M,336,485-7050,ASHEVILLE,NC,28801,S,Y,85000,7.515734,3300,0,3300
33673,Weiming,Dalmare,F,410,750-9373,GAITHERSBURG,MD,20885,S,Y,70000,4.75,2400,0,2400
33674,Shaler,Lenhof,M,507,865-6041,MOOSE LAKE,MN,55767,M,N,15000,5.35,0,6600,0
33675,Junxian,Truffet,M,405,677-9058,EAKLY,OK,73033,M,Y,55000,6.25,0,2000,1000
33676,Aluzio,Blomer,F,304,669-2937,FANROCK,WV,24834,M,N,50000,5.8,0,4000,0
33677,Eneia,Gurzi,F,406,684-6969,WORDEN,MT,59088,M,N,70000,6.9,0,3800,0
33678,Takeo,Scherr,M,802,675-8192,BELMONT,VT,5730,M,N,100000,4.994672,0,6600,0
33679,Didir,Rheingans,F,774,214-3453,HOPEDALE,MA,1747,M,Y,65000,5.3,0,7150,1000
33680,Casimir,Thees,M,361,802-6664,EL PASO,TX,88519,S,Y,40000,0.0,0,0,0
33681,Nagesh,Farre,M,912,338-7563,ALBANY,GA,31721,M,Y,65000,6.0,0,5400,3000
33682,Samul,Kinnersley,F,205,948-2567,SILURIA,AL,35144,S,N,100000,5.0,1500,0,0
33683,Gennaro,Baj,M,601,649-1276,JONESTOWN,MS,38639,S,N,30000,5.0,6000,0,0
33684,Rogerio,Bhagavan,M,860,645-3342,CANAAN,CT,6018,M,N,65000,5.0,0,24500,0
33685,Uisok,Poll,M,262,566-4815,RIDGEWAY,WI,53582,S,Y,25000,4.880782,700,0,400
33686,Gertrude,Niinomi,F,731,489-8611,SPARTA,TN,38583,S,N,75000,0.0,0,0,0
33687,Bir,Radhakrishnan,F,316,530-9159,MISSION,KS,66205,M,N,15000,3.5,0,4500,0
33688,Wessel,Henton,F,402,878-1569,OMAHA,NE,68164,M,N,65000,6.84,0,206,0
33689,Daniela,Hollenbach,F,402,505-3928,BENKELMAN,NE,69021,S,N,55000,6.84,103,0,0
33690,Leonidas,Moghrabi,F,203,951-7620,REDDING CENTER,CT,6875,M,Y,15000,5.0,0,24500,0
33691,Etsuo,Lalanda,M,253,540-8005,TACOMA,WA,98418,M,Y,40000,0.0,0,0,0
33692,Stamos,Rovan,M,551,168-4408,SUSSEX,NJ,7461,M,N,50000,1.873125,0,2000,0
33693,Rodrigo,Rahm,F,208,119-7338,HOPE,ID,83836,S,N,85000,7.8,3300,0,0
33694,Libor,Rino,F,570,731-4099,IRVINE,PA,16329,M,N,25000,3.07,0,0,0
33695,Vilena,Yeap,M,504,441-4879,PINE GROVE,LA,70453,S,Y,15000,2.8,4500,0,1000
33696,Tsukasa,Bratsberg,F,401,319-4811,ASHAWAY,RI,2804,M,Y,70000,0.0,0,0,0
33697,Sahrah,Wile,M,802,311-8109,SOUTH BURLINGTON,VT,5403,S,Y,30000,3.6019895,3300,0,3300
33698,Haomin,Eyre,M,701,108-6771,COURTENAY,ND,58426,M,N,40000,2.2194002,0,6600,0
33699,Shuling,Metais,F,435,707-1428,FARMINGTON,UT,84025,M,Y,75000,7.0,0,4950,2475
33700,Chinmoy,Bultitude,F,203,741-2828,NORFOLK,CT,6058,S,N,35000,5.0,12750,0,0
33701,Teruhiko,Rutherford,M,443,860-7885,UPPER MARLBORO,MD,20775,M,Y,35000,4.75,0,4800,2400
33702,Irmtraut,Sussmann,F,507,673-2735,RAYMOND,MN,56282,M,N,85000,7.85,0,6600,0
33703,Geng,Leask,M,505,321-2494,REHOBOTH,NM,87322,M,Y,100000,5.3,0,6600,3300
33704,Gurushankar,Sutanto,F,831,529-6525,LA MESA,CA,91942,S,N,100000,9.3,87,0,0
33705,Katharine,Karcich,F,802,362-3374,RIPTON,VT,5766,S,N,65000,4.298331,3300,0,0
33706,Limsson,Gierz,F,202,212-1783,WASHINGTON,DC,20239,M,N,65000,9.0,0,2740,0
33707,Rok,Greitane,F,951,375-5069,WALNUT CREEK,CA,94595,S,N,25000,5.410157,87,0,0
33708,Toshiaki,Geldenhuys,F,605,712-5122,WILMOT,SD,57279,S,Y,85000,0.0,0,0,0
33709,Tatyana,Yahyapour,F,339,148-7911,BOSTON,MA,2118,S,N,30000,5.3,3575,0,0
33710,Sergiu,Rubin,F,307,359-5463,EVANSVILLE,WY,82636,S,N,95000,0.0,0,0,0
33711,Chuzo,Remy,F,512,613-5580,NOVICE,TX,79538,M,Y,30000,0.0,0,0,0
33712,Megan,Pokoski,F,806,276-9534,MERETA,TX,76940,S,Y,40000,0.0,0,0,0
33713,Loretta,Flanders,F,860,505-2691,GUILFORD,CT,6437,S,Y,40000,5.0,12750,0,0
33714,Elwyn,Katoen,F,503,154-6906,SUTHERLIN,OR,97479,S,Y,10000,9.0,159,0,159
33715,Debora,Antos,M,303,254-5773,SNOWMASS VILLAGE,CO,81615,M,N,10000,4.63,0,0,0
33716,Madhusudhana,Federico,M,207,425-3883,WATERFORD,ME,4088,M,Y,35000,8.5,0,5700,2850
33717,Nobuaki,Krishnan,M,202,360-4775,WASHINGTON,DC,20224,S,Y,10000,4.5,1370,0,1370
33718,Frantz,Dunbar,M,702,350-3737,INCLINE VILLAGE,NV,89451,S,Y,30000,0.0,0,0,0
33719,Xuejun,Parodi,M,304,187-6359,BRIDGEPORT,WV,26330,M,N,45000,5.45,0,4000,0
33720,Pavel,Rouse,F,910,974-1985,CEDAR GROVE,NC,27231,S,Y,30000,6.361888,3300,0,3300
33721,Seyit,Leitsch,F,505,633-1725,MALAGA,NM,88263,M,N,30000,5.3,0,6600,0
33722,Gavan,Doushou,F,580,971-7023,CYRIL,OK,73029,S,Y,40000,6.25,1000,0,1000
33723,Marisela,Spadoni,M,802,265-2191,BRATTLEBORO,VT,5303,M,Y,35000,3.7014668,0,6600,3300
33724,Jiann,Sendrier,M,828,968-7074,DURHAM,NC,27703,S,N,95000,7.7255244,3300,0,0
33725,Xubo,Theys,M,757,174-1328,CALLANDS,VA,24530,M,Y,40000,5.75,0,1800,900
33726,Yuke,Sucheston,M,203,165-5514,WATERBURY,CT,6725,M,N,75000,5.0,0,24500,0
33727,Yumiko,Leffler,M,410,793-6182,HARWOOD,MD,20776,S,N,15000,4.75,2400,0,0
33728,Naoshi,Heuser,M,207,674-1032,ROUND POND,ME,4564,S,N,80000,8.5,2850,0,0
33729,Moredachi,Inui,F,401,795-3374,LINCOLN,RI,2865,M,N,50000,0.0,0,0,0
33730,Ruddy,Elhardt,F,609,355-9510,EDISON,NJ,8818,S,Y,55000,1.9519792,1000,0,1500
33731,Santos,Canning,F,608,426-2472,MADISON,WI,53784,S,Y,75000,5.7495394,700,0,400
33732,Elisabeth,Lamping,F,939,603-8895,AGUIRRE,PR,704,S,N,40000,0.0,0,0,0
33733,Shohji,Mehlenbacher,F,402,755-2020,PLYMOUTH,NE,68424,S,N,45000,6.84,103,0,0
33734,Aviezri,Junger,M,405,793-4499,EAKLY,OK,73033,M,N,5000,3.0555556,0,2000,0
33735,Palle,Westcott,M,865,192-4145,BENTON,TN,37307,S,Y,75000,0.0,0,0,0
33736,Efraim,Daws,F,360,895-3558,MORTON,WA,98356,M,Y,100000,0.0,0,0,0
33737,Haibin,Greitane,M,801,625-2394,PAYSON,UT,84651,S,Y,25000,7.0,2475,0,2475
33738,Kyungcheol,Schwartzbauer,M,860,717-1339,TERRYVILLE,CT,6786,M,N,70000,5.0,0,24500,0
33739,Ilya,Kulasinghe,F,208,419-7271,LUCILE,ID,83542,S,N,40000,7.8,3300,0,0
33740,Subir,Eisenstadt,M,208,533-9683,FERDINAND,ID,83526,M,N,95000,7.8,0,6600,0
33741,Sallie,Abeysinghe,M,802,573-9187,MONTPELIER,VT,5602,M,Y,25000,3.6,0,6600,3300
33742,Ravindranath,Ananiadou,F,406,936-2107,MISSOULA,MT,59801,M,Y,90000,6.9,0,3800,1900
33743,Aniello,Kaminka,F,319,112-6329,THURMAN,IA,51654,M,Y,95000,8.98,0,80,40
33744,Grigore,Minet,M,317,476-8322,SHELBY,IN,46377,S,N,10000,3.4,1000,0,0
33745,Jaakko,Daga,M,505,720-2545,RIO RANCHO,NM,87124,M,Y,60000,5.3,0,6600,3300
33746,Mathilde,Nozaki,F,207,758-1906,DENMARK,ME,4022,M,Y,40000,8.5,0,5700,2850
33747,Muguel,Eisenstadt,M,228,538-4797,MIZE,MS,39116,M,Y,10000,5.0,0,12000,1500
33748,Rajshekhar,Lando,M,703,883-5908,HENRICO,VA,23294,S,N,90000,5.75,900,0,0
33749,Eyas,Woog,M,334,976-7710,ODENVILLE,AL,35120,S,N,30000,5.0,1500,0,0
33750,Lorant,Strout,M,713,976-7850,TYLER,TX,75702,S,Y,85000,0.0,0,0,0
33751,Yves,Laugerotte,M,205,110-4362,BILLINGSLEY,AL,36006,S,N,15000,5.0,1500,0,0
33752,Belarmino,Versino,M,617,904-4875,WESTPORT,MA,2790,M,Y,85000,5.3,0,7150,1000
33753,Sandra,Delgrande,F,207,942-8579,WOOLWICH,ME,4579,M,Y,100000,8.5,0,5700,2850
33754,Aju,Hekken,M,641,544-6972,HUBBARD,IA,50122,M,N,60000,8.98,0,80,0
33755,Divesh,Olivi,M,870,231-4572,BENTON,AR,72018,M,N,100000,7.0,0,40,0
33756,Chiang,Beydoun,M,435,275-7174,TEASDALE,UT,84773,S,Y,65000,7.0,2475,0,2475
33757,Dinos,Guzdial,F,701,236-3698,CUMMINGS,ND,58223,S,N,100000,2.914935,3300,0,0
33758,Sakke,Bos,M,502,452-2828,LOUISVILLE,KY,40223,S,N,10000,2.3888888,20,0,0
33759,Alicia,Capua,M,401,625-8733,PROVIDENCE,RI,2906,S,N,70000,0.0,0,0,0
33760,Goang,Jostes,M,704,144-7633,RODUCO,NC,27969,S,N,25000,6.256993,3300,0,0
33761,Alyman,Luders,F,208,995-6214,JEROME,ID,83338,S,N,5000,2.6903439,3300,0,0
33762,Akhilish,Shepherdson,M,413,197-8682,BERKSHIRE,MA,1224,S,N,10000,5.3,3575,0,0
